Subject,Trial,VisType,Damage,Distance,TimeD,InOut
3,137,FuzzyOnl,1,416.733,1,0
3,138,FuzzyOnl,3,69.456,1,1
3,139,FuzzyOnl,1,659.828,1,0
3,140,FuzzyOnl,1,-520.917,1,0
3,141,FuzzyOnl,3,69.456,1,1
3,142,FuzzyOnl,4,-69.456,1,1
3,143,FuzzyOnl,1,353.534,0,0
3,144,FuzzyOnl,1,416.733,1,0
3,145,FuzzyOnl,1,353.534,0,0
3,146,FuzzyOnl,1,520.917,1,0
3,147,FuzzyOnl,1,-223.285,0,0
4,4,Centerli,6,173.639,1,1
4,5,Centerli,7,69.456,1,1
4,6,Centerli,1,-520.917,1,0
4,7,Centerli,5,-173.639,1,1
4,8,Centerli,4,-353.534,0,0
4,9,Centerli,7,37.214,0,1
4,10,Centerli,3,-416.733,1,0
4,11,Centerli,3,-279.106,0,0
4,12,Centerli,3,-277.822,1,1
4,13,Centerli,6,-93.035,0,1
4,14,Centerli,5,-148.856,0,1
4,15,Centerli,4,223.285,0,0
4,16,Centerli,7,-37.214,0,1
4,17,Centerli,4,-416.733,1,0
4,18,Centerli,4,-277.822,1,1
4,19,Centerli,3,279.106,0,0
4,20,Centerli,4,-353.534,0,0
4,21,Centerli,4,353.534,0,0
4,22,Centerli,2,-659.828,1,0
4,23,Centerli,7,-37.214,0,1
4,24,Centerli,6,93.035,0,1
4,25,Centerli,6,93.035,0,1
4,26,Centerli,6,148.856,0,1
4,27,Centerli,6,-93.035,0,1
4,28,Centerli,4,416.733,1,0
4,29,Centerli,4,223.285,0,0
4,30,Centerli,1,659.828,1,0
4,31,Centerli,6,93.035,0,1
4,32,Centerli,1,659.828,1,0
4,33,Centerli,1,-659.828,1,0
4,34,Centerli,1,659.828,1,0
4,35,Centerli,6,173.639,1,1
4,36,Centerli,3,-520.917,1,0
4,37,Centerli,5,277.822,1,1
4,38,Centerli,4,279.106,0,0
4,39,Centerli,4,-353.534,0,0
4,40,Centerli,4,279.106,0,0
4,41,Centerli,7,37.214,0,1
4,42,Centerli,4,-173.639,1,1
4,43,Centerli,6,-173.639,1,1
4,44,Centerli,1,659.828,1,0
4,45,Centerli,5,148.856,0,1
4,46,Centerli,6,69.456,1,1
4,47,Centerli,5,-148.856,0,1
4,48,Centerli,2,-416.733,1,0
4,49,Centerli,3,-353.534,0,0
4,50,Centerli,2,520.917,1,0
4,51,Centerli,3,416.733,1,0
4,52,Centerli,7,-37.214,0,1
4,53,Centerli,3,277.822,1,1
4,54,Centerli,3,-277.822,1,1
4,55,Centerli,3,-223.285,0,0
4,56,Centerli,3,-223.285,0,0
4,57,Centerli,2,-416.733,1,0
4,58,Centerli,5,-173.639,1,1
4,59,Centerli,4,279.106,0,0
4,60,Centerli,3,-353.534,0,0
4,61,Centerli,1,-520.917,1,0
4,62,Centerli,5,-223.285,0,0
4,63,Centerli,5,173.639,1,1
4,64,Centerli,5,277.822,1,1
4,65,Centerli,7,-37.214,0,1
4,66,Centerli,3,-520.917,1,0
4,67,Centerli,3,353.534,0,0
4,68,Centerli,4,-277.822,1,1
4,69,Centerli,6,93.035,0,1
4,70,Centerli,6,69.456,1,1
4,71,Centerli,5,-173.639,1,1
4,72,Centerli,2,520.917,1,0
4,73,Centerli,7,-37.214,0,1
4,74,Centerli,7,-37.214,0,1
4,75,Centerli,5,-223.285,0,0
4,76,Centerli,3,416.733,1,0
4,77,Centerli,3,-520.917,1,0
4,78,Centerli,3,416.733,1,0
4,79,Centerli,7,-69.456,1,1
4,80,Centerli,3,416.733,1,0
4,81,Centerli,6,-93.035,0,1
4,82,Centerli,7,37.214,0,1
4,83,Centerli,2,520.917,1,0
4,84,Centerli,4,-148.856,0,1
4,85,Centerli,2,520.917,1,0
4,86,Centerli,3,-520.917,1,0
4,87,Centerli,5,148.856,0,1
4,88,Centerli,2,659.828,1,0
4,89,Centerli,7,-69.456,1,1
4,90,Centerli,2,-659.828,1,0
4,91,Centerli,2,659.828,1,0
4,92,Centerli,4,279.106,0,0
4,93,Centerli,7,69.456,1,1
4,94,Centerli,6,148.856,0,1
4,95,Centerli,4,-279.106,0,0
4,96,Centerli,6,-148.856,0,1
4,97,Centerli,5,-148.856,0,1
4,98,Centerli,4,-277.822,1,1
4,99,Centerli,4,353.534,0,0
4,100,Centerli,7,69.456,1,1
4,101,Centerli,7,93.035,0,1
4,102,Centerli,6,-93.035,0,1
4,103,Centerli,6,-69.456,1,1
4,104,Centerli,5,-173.639,1,1
4,105,Centerli,7,69.456,1,1
4,106,Centerli,7,37.214,0,1
4,107,Centerli,5,-279.106,0,0
4,108,Centerli,7,37.214,0,1
4,109,Centerli,2,520.917,1,0
4,110,Centerli,3,353.534,0,0
4,111,Centerli,1,-659.828,1,0
4,112,Centerli,3,223.285,0,0
4,113,Centerli,3,-223.285,0,0
4,114,Centerli,5,353.534,0,0
4,115,Centerli,7,-69.456,1,1
4,116,Centerli,6,148.856,0,1
4,117,Centerli,1,-659.828,1,0
4,118,Centerli,3,223.285,0,0
4,119,Centerli,4,173.639,1,1
4,120,Centerli,4,277.822,1,1
4,121,Centerli,4,-223.285,0,0
4,122,Centerli,4,277.822,1,1
4,123,Centerli,3,520.917,1,0
4,124,Centerli,3,-416.733,1,0
4,125,Centerli,4,279.106,0,0
4,126,Centerli,5,223.285,0,0
4,127,Centerli,7,93.035,0,1
4,128,Centerli,5,223.285,0,0
4,129,Centerli,5,173.639,1,1
4,130,Centerli,4,-279.106,0,0
4,131,Centerli,4,277.822,1,1
4,132,Centerli,4,-277.822,1,1
4,133,Centerli,3,353.534,0,0
4,134,Centerli,4,-279.106,0,0
4,135,Centerli,7,-69.456,1,1
4,136,Centerli,7,-93.035,0,1
4,137,Centerli,6,148.856,0,1
4,138,Centerli,7,-69.456,1,1
4,139,Centerli,1,-659.828,1,0
4,140,Centerli,4,-279.106,0,0
4,141,Centerli,7,-93.035,0,1
4,142,Centerli,2,-416.733,1,0
4,143,Centerli,6,-148.856,0,1
4,144,Centerli,3,416.733,1,0
4,145,Centerli,7,37.214,0,1
4,146,Centerli,4,173.639,1,1
4,147,Centerli,3,-353.534,0,0
5,4,ConesCen,6,-69.456,1,1
5,5,ConesCen,1,-659.828,1,0
5,6,ConesCen,3,148.856,0,1
5,7,ConesCen,7,-37.214,0,1
5,8,ConesCen,2,-279.106,0,0
5,9,ConesCen,3,-148.856,0,1
5,10,ConesCen,6,69.456,1,1
5,11,ConesCen,5,-173.639,1,1
5,12,ConesCen,2,223.285,0,0
5,13,ConesCen,6,69.456,1,1
5,14,ConesCen,4,-277.822,1,1
5,15,ConesCen,1,279.106,0,0
5,16,ConesCen,3,148.856,0,1
5,17,ConesCen,4,-173.639,1,1
5,18,ConesCen,4,173.639,1,1
5,19,ConesCen,1,353.534,0,0
5,20,ConesCen,1,353.534,0,0
5,21,ConesCen,2,-148.856,0,1
5,22,ConesCen,7,-37.214,0,1
5,23,ConesCen,1,-279.106,0,0
5,24,ConesCen,1,-659.828,1,0
5,25,ConesCen,2,-416.733,1,0
5,26,ConesCen,3,148.856,0,1
5,27,ConesCen,2,-416.733,1,0
5,28,ConesCen,1,659.828,1,0
5,29,ConesCen,1,-520.917,1,0
5,30,ConesCen,1,-659.828,1,0
5,31,ConesCen,7,37.214,0,1
5,32,ConesCen,6,69.456,1,1
5,33,ConesCen,3,-277.822,1,1
5,34,ConesCen,5,-173.639,1,1
5,35,ConesCen,5,93.035,0,1
5,36,ConesCen,1,279.106,0,0
5,37,ConesCen,4,93.035,0,1
5,38,ConesCen,7,-37.214,0,1
5,39,ConesCen,4,93.035,0,1
5,40,ConesCen,1,-223.285,0,0
5,41,ConesCen,6,-37.214,0,1
5,42,ConesCen,1,-520.917,1,0
5,43,ConesCen,1,-520.917,1,0
5,44,ConesCen,3,-173.639,1,1
5,45,ConesCen,3,-173.639,1,1
5,46,ConesCen,1,520.917,1,0
5,47,ConesCen,1,416.733,1,0
5,48,ConesCen,2,416.733,1,0
5,49,ConesCen,1,-279.106,0,0
5,50,ConesCen,2,-223.285,0,0
5,51,ConesCen,1,-520.917,1,0
5,52,ConesCen,2,223.285,0,0
5,53,ConesCen,3,277.822,1,1
5,54,ConesCen,4,173.639,1,1
5,55,ConesCen,1,-279.106,0,0
5,56,ConesCen,3,-277.822,1,1
5,57,ConesCen,4,173.639,1,1
5,58,ConesCen,1,353.534,0,0
5,59,ConesCen,3,277.822,1,1
5,60,ConesCen,1,279.106,0,0
5,61,ConesCen,1,-353.534,0,0
5,62,ConesCen,1,223.285,0,0
5,63,ConesCen,2,148.856,0,1
5,64,ConesCen,2,223.285,0,0
5,65,ConesCen,2,148.856,0,1
5,66,ConesCen,3,-148.856,0,1
5,67,ConesCen,6,-69.456,1,1
5,68,ConesCen,1,-416.733,1,0
5,69,ConesCen,3,277.822,1,1
5,70,ConesCen,1,-353.534,0,0
5,71,ConesCen,1,353.534,0,0
